trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-68.35281418105683,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",30,0,-149.61849736975833,"{0: 15, 1: 5, 2: 8, 3: 1, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-133.73737207423264,"{0: 15, 1: 4, 2: 1, 3: 4, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-182.70601226998573,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-129.96695786009886,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-61.306737985765835,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",30,0,-109.71881866225281,"{0: 20, 1: 5, 2: 2, 3: 2, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",30,0,-53.723690970959375,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,0,-121.25216208460996,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-118.34374184929183,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",20,0,-55.64092803311622,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-90.99683357079343,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-48.825624852285,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",25,0,-89.66713158484686,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,0,-93.80201612592668,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,0,-225.65129401342642,"{0: 11, 1: 2, 2: 7, 3: 2, 4: 3}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,-58.81918256316824,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,-151.17752780871615,"{0: 7, 1: 1, 2: 11, 3: 0, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",35,0,-210.04386622884962,"{0: 17, 1: 7, 2: 7, 3: 2, 4: 2}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",25,0,-82.53937931472225,"{0: 16, 1: 6, 2: 1, 3: 1, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",25,12,-82.62086098818418,"{0: 8, 1: 1, 2: 1, 3: 2, 4: 1}",1
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,0,-173.72157056668613,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",30,5,-110.51189240135618,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",1
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",25,0,-132.98918617720372,"{0: 17, 1: 4, 2: 1, 3: 0, 4: 3}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",25,0,-58.29966560001355,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",25,0,-172.90194722928123,"{0: 12, 1: 5, 2: 4, 3: 2, 4: 2}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,0,-111.11508165731234,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",25,0,-143.106702548868,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",25,0,-126.45634984802312,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-82.53788717284012,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",35,0,-192.12075732901664,"{0: 21, 1: 4, 2: 4, 3: 4, 4: 2}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",30,0,-249.39433784667176,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 5}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",25,15,-104.21742025225878,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 2}",1
47,False,"{'a': 0.01, 'e': 0.891568288195329}",20,13,12.636843264438424,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,0,-74.38242547968436,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",20,0,-35.2931589975751,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,0,-155.75876956101956,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-99.18352756340141,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",25,0,-145.61558154504556,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",30,0,-145.0346991226623,"{0: 19, 1: 4, 2: 3, 3: 2, 4: 2}",1
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,-106.34157146868361,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",25,0,-77.73471405861875,"{0: 18, 1: 5, 2: 0, 3: 0, 4: 2}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,9,-122.01675855960873,"{0: 6, 1: 0, 2: 1, 3: 2, 4: 2}",1
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",30,0,-109.92661215730952,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",30,7,-70.56498355042456,"{0: 15, 1: 4, 2: 1, 3: 3, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",30,0,-166.12042840688773,"{0: 17, 1: 5, 2: 5, 3: 0, 4: 3}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,11,-79.41894630579469,"{0: 9, 1: 2, 2: 0, 3: 2, 4: 1}",1
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,0,-99.13700074810858,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",30,0,-154.7404623062212,"{0: 20, 1: 2, 2: 3, 3: 3, 4: 2}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",25,17,-15.771036721532367,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",25,0,-114.1712630794043,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",35,0,-156.2459768870087,"{0: 20, 1: 4, 2: 8, 3: 2, 4: 1}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",25,16,3.171297960777823,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,0,-75.81024071587504,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",25,14,-15.78703082405198,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",20,0,-54.43479573749099,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",25,0,-163.34611851985665,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,0,-62.7289799268574,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
72,False,"{'a': 0.01, 'e': 0.751805729140895}",25,0,-98.06367375336055,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",20,0,-65.7372680563777,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,8,-37.421908187518696,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",30,13,-25.069957682147777,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 0}",1
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",25,5,-46.09533974938057,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",1
77,False,"{'a': 0.01, 'e': 0.7179106696109433}",20,0,-131.18142439572603,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,0,-82.47899600492894,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522361}",20,0,-26.603900301570732,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471654}",30,0,-177.3534517322615,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
81,False,"{'a': 0.01, 'e': 0.689498432951747}",25,0,-148.38739281535476,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876135}",30,0,-107.00837037457839,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
83,False,"{'a': 0.01, 'e': 0.674875760071267}",20,0,-90.13530422011839,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413081}",25,0,-54.108106805327566,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,0,-30.783130463014878,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,0,-56.395789800016075,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,0,-94.71320452499542,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,0,-108.14251004509197,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
